snapshot_date,code,selection_source,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,_evidence_family_count,review_reason,pit_eps_yoy_growth,volume_ratio,dist_to_52w_high_pct,pullback_v_is_dry,sector,industry
2026-08-07,UNM,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,88.19,2.69,1,unconfirmed_near_buy_point|rs_near_high,-16.1458333333,0.9976869138409707,-2.2874406560207228,False,Finance,Multi-Line Insurance
2026-08-07,URI,SUPPLEMENTAL,UNCONFIRMED,pivot,1143.69,1.67,1,unconfirmed_near_buy_point|rs_near_high,6.5739570164,0.9219252708011214,-1.3857087128343548,False,Finance,Finance/Rental/Leasing
2026-08-07,UVE,SUPPLEMENTAL,UNCONFIRMED,pivot,43.8,0.8,2,unconfirmed_near_buy_point|eps|rs_near_high,68.5950413223,0.8319360045402908,-2.1281312347594783,False,Finance,Property/Casualty Insurance
2026-08-07,VABK,ACTIONABLE_BASELINE,ACTIONABLE,ceiling_pullback,46.44,3.17,2,weekend_actionable,16.8674698795,0.9928749607898786,-4.180000000000006,False,Finance,Regional Banks
2026-08-07,VIK,SUPPLEMENTAL,UNCONFIRMED,pivot,105.53,0.25,3,unconfirmed_near_buy_point|eps|rs_near_high|supply_contraction,54.1666666667,0.8993850556576507,-3.905895176673624,True,Consumer Services,Hotels/Resorts/Cruise lines
2026-08-07,WBS,ACTIONABLE_BASELINE,ACTIONABLE,pivot,77.33,2.2,2,weekend_actionable,2.6315789474,1.515043619811029,-0.8903937797842931,False,Finance,Savings Banks
2026-08-07,WRLD,SUPPLEMENTAL,UNCONFIRMED,ceiling,185.07,1.11,1,unconfirmed_near_buy_point|eps,343.3333333333,0.8747651403231053,-17.810084328882645,,Finance,Finance/Rental/Leasing
2026-08-07,WSBF,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,20.6,1.17,1,unconfirmed_near_buy_point|rs_near_high,13.9534883721,0.6862160634483245,-1.4191106906338735,False,Finance,Finance/Rental/Leasing
2026-08-07,WSM,SUPPLEMENTAL,UNCONFIRMED,pivot,243.84,3.26,2,unconfirmed_near_buy_point|rs_near_high|supply_contraction,4.3243243243,1.03887423621682,-0.4782797739041111,True,Retail Trade,Specialty Stores
2026-08-07,WTTR,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,20.15,0.4,2,weekend_actionable,60.0,1.699843211759959,-10.288248337028827,False,Energy Minerals,Oil & Gas Production
