code,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
HLIO,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
HLT,8,8,1.0,8,1.0,8,1.0,8,1.0,8,1.0
HMN,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
HNGE,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
HNVR,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
HON,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HOOD,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HPE,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
HQ,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HR,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
HST,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
HTB,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
HTO,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HUT,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HVT,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
HWBK,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
HWM,9,9,1.0,9,1.0,9,1.0,9,1.0,9,1.0
HXL,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
HZO,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
IBCP,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
IBKR,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
IBM,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IBOC,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IBTA,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
ICHR,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
IDA,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
IESC,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
IFS,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
IGIC,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ILMN,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
IMAX,3,3,1.0,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
INBX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
INCY,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
INDV,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
INGM,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
INSW,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
INTC,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
INTG,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
INVA,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IONQ,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
IOR,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
