audit_rule,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,mfe_1w_pct,mfe_2w_pct,mfe_3w_pct,mfe_4w_pct,mae_1w_pct,mae_2w_pct,mae_3w_pct,mae_4w_pct
B0_ACTIONABLE_ONLY,2w,2025-12-12,STX,UNCONFIRMED,pivot,1.13,True,1.5313887008121085,-3.6280880893523326,13.200177068648177,9.095887649649992,4.638726009059191,4.638726009059191,13.741472245932208,13.741472245932208,-5.4061559165979105,-5.885786539855287,-6.036529086473818,-6.036529086473818
B0_ACTIONABLE_ONLY,2w,2026-01-09,AMAT,UNCONFIRMED,pivot,10.08,False,8.38194632195519,5.879620231539939,8.842633092880469,9.56184740381607,9.704361215973556,10.377170035768035,14.211853609083903,14.211853609083903,-1.5643647095342939,-1.5643647095342939,-1.5643647095342939,-4.7162968741734534
B0_ACTIONABLE_ONLY,2w,2026-01-09,ASML,EXTENDED,ma10_touch_confirm,8.62,False,8.161225014198736,12.522483771061466,14.754864211045593,13.807455340534624,9.498744562980011,13.047934408615113,18.901956180408174,18.901956180408174,-0.5127193904862049,-0.5127193904862049,-0.5127193904862049,-0.5127193904862049
B0_ACTIONABLE_ONLY,2w,2026-01-09,SMTC,UNCONFIRMED,ceiling,2.69,True,1.9989434833844522,6.746445543993174,15.412941977371686,16.714885496374677,7.035768555637434,10.205157867963521,16.596531555281757,21.436079992254207,-6.825358204784626,-6.825358204784626,-6.825358204784626,-6.825358204784626
B0_ACTIONABLE_ONLY,2w,2026-01-09,SNDK,EXTENDED,pivot,32.54,False,10.602453075663787,25.892447591035573,77.88592348662084,56.00182434680412,15.522632190679332,36.240605197429886,80.94766966135583,93.86581748094069,0.0,0.0,0.0,0.0
B0_ACTIONABLE_ONLY,2w,2026-01-09,STX,UNCONFIRMED,ma10_touch_confirm,0.93,True,8.994024137955648,19.705326072438332,44.64936545337941,41.99325230250648,11.930771356238257,23.77468318550866,52.96515320984645,53.48969543597488,-0.40760456738979656,-0.40760456738979656,-0.40760456738979656,-0.40760456738979656
B0_ACTIONABLE_ONLY,2w,2026-01-09,WDC,EXTENDED,ma10_touch_confirm,6.76,False,14.47544935753795,24.470287391997747,39.65375244771479,47.798444565568474,19.111108903120954,29.426357850855943,47.50388290838985,53.229974160206716,0.0,0.0,0.0,0.0
B0_ACTIONABLE_ONLY,2w,2026-04-02,FCX,UNCONFIRMED,ma10_touch_confirm,5.55,True,10.965637880456747,14.90998500468066,-0.08183181392668049,-7.446807447937498,11.964002243116978,15.728315630681845,16.153851052488122,16.153851052488122,-2.324055981027151,-2.324055981027151,-2.324055981027151,-7.528639261864178
B0_ACTIONABLE_ONLY,2w,2026-04-02,NVT,UNCONFIRMED,ceiling,0.56,True,10.410145926929172,13.902750478990477,20.22832826126453,34.393233123843814,11.492597325911724,14.939535193413045,22.882880116113903,41.53910792151163,-2.7399559101645043,-2.7399559101645043,-2.7399559101645043,-2.7399559101645043
B0_ACTIONABLE_ONLY,2w,2026-04-02,SMTC,UNCONFIRMED,ceiling,9.11,False,3.1094974559916055,30.320625645417685,32.837264233020626,30.441615932501698,11.433752902331484,33.7568070306,36.781610362536085,36.781610362536085,-2.903813044852066,-2.903813044852066,-2.903813044852066,-2.903813044852066
B0_ACTIONABLE_ONLY,2w,2026-04-02,SSRM,EXTENDED,ma10_touch_confirm,16.88,False,5.241428049149488,0.8576888871977717,-2.9542576832887524,-7.274456929728501,16.01016832533697,16.01016832533697,16.01016832533697,16.01016832533697,-0.8259219589028199,-1.3659476220730382,-7.687420938640932,-10.832274132777398
B0_ACTIONABLE_ONLY,2w,2026-04-02,STX,UNCONFIRMED,ma10_touch_confirm,0.9,False,11.588449129293332,21.484650920008043,30.023508173171543,61.22471274030359,14.704574848068642,22.775461614913752,34.823014563804676,61.462028059819,-1.3041174634348174,-1.3041174634348174,-1.3041174634348174,-1.3041174634348174
B0_ACTIONABLE_ONLY,2w,2026-04-10,ACLS,UNCONFIRMED,ceiling,7.23,False,8.271018960359712,30.52161234996198,27.658217051049185,48.66860599570484,11.107051129882262,34.907894857679736,34.907894857679736,56.4927912451344,-1.4681748646592996,-1.4681748646592996,-1.4681748646592996,-1.4681748646592996
