snapshot_date,code,current_b0_raw_rank,current_b0_lane,current_b0_eligible,current_b0_reject_reasons,current_b0_selected,current_b0_pick_order,w4_return_pct,w4_stop8,snapshot_w4_return_pct,snapshot_w4_stop8,snapshot_price_valid
2025-11-28,WMT,5,constructive_pullback,False,non_actionable,False,,1.314,False,1.313989,False,True
2025-11-28,WWD,18,incomplete_evidence,False,non_actionable,False,,4.0052,False,3.78279,False,True
2025-12-05,AMAT,30,incomplete_evidence,False,non_actionable,False,,-0.2309,True,0.325782,False,True
2025-12-05,APP,28,incomplete_evidence,False,non_actionable,False,,-11.3736,True,-10.639651,True,True
2025-12-05,ASML,18,incomplete_evidence,False,non_actionable|eps_unknown,False,,4.019,True,5.849883,True,True
2025-12-05,ASTS,24,incomplete_evidence,False,non_actionable,False,,11.3082,True,12.919372,True,True
2025-12-05,BIDU,22,incomplete_evidence,False,non_actionable|eps_unknown,False,,16.5116,True,19.608467,False,True
2025-12-05,BLK,21,incomplete_evidence,False,non_actionable,False,,1.0301,False,1.20349,False,True
2025-12-05,C,5,constructive_pullback,False,non_actionable,False,,8.6912,False,9.015476,False,True
2025-12-05,CAT,4,constructive_pullback,False,non_actionable,False,,-1.0333,False,-0.788978,False,True
2025-12-05,COF,19,incomplete_evidence,False,non_actionable,False,,7.2801,False,7.477742,False,True
2025-12-05,CVNA,15,incomplete_evidence,False,non_actionable,False,,-7.9038,True,0.125078,False,True
2025-12-05,DASH,1,fresh_demand_alpha,True,,True,1.0,-2.1634,False,-2.315556,False,True
2025-12-05,EA,11,constructive_pullback,False,non_actionable|eps_unknown,False,,,,,,False
2025-12-05,EWBC,20,incomplete_evidence,False,non_actionable,False,,4.1728,False,4.288355,False,True
2025-12-05,FN,13,constructive_pullback,False,non_actionable,False,,-0.7453,True,0.202738,True,True
2025-12-05,JOBY,9,constructive_pullback,False,non_actionable,False,,-6.6927,True,-5.897772,True,True
2025-12-05,JPM,12,constructive_pullback,False,non_actionable,False,,3.306,False,3.312623,False,True
2025-12-05,LSCC,16,incomplete_evidence,False,non_actionable,False,,-0.38,True,-0.253646,True,True
2025-12-05,LYFT,29,incomplete_evidence,False,non_actionable,False,,-13.8441,True,-13.844145,True,True
