code,eligible_rank,rank_bucket,w4_return_pct,w4_stop8,selected,snapshot_date
UTMD,68,rank_11_plus,-10.48,True,False,2026-06-26
AMAL,69,rank_11_plus,5.8204,False,False,2026-06-26
TRMK,70,rank_11_plus,0.6913,False,False,2026-06-26
OSBC,71,rank_11_plus,3.8578,False,False,2026-06-26
AEE,72,rank_11_plus,-2.2509,False,False,2026-06-26
CBK,73,rank_11_plus,1.471,False,False,2026-06-26
SPG,74,rank_11_plus,1.5647,False,False,2026-06-26
SBSI,75,rank_11_plus,-1.4569,False,False,2026-06-26
ACU,76,rank_11_plus,12.0017,True,False,2026-06-26
RPRX,77,rank_11_plus,5.0188,False,False,2026-06-26
NTCT,78,rank_11_plus,-3.823,False,False,2026-06-26
BMRC,1,rank_1_3,2.8094,False,True,2026-07-02
BSET,2,rank_1_3,-6.799,False,True,2026-07-02
MPB,3,rank_1_3,8.8857,False,False,2026-07-02
PACS,4,rank_4_6,3.7664,False,True,2026-07-02
TCBK,5,rank_4_6,5.9473,False,False,2026-07-02
NTST,6,rank_4_6,-0.3716,False,False,2026-07-02
SBFG,7,rank_7_10,4.8135,False,False,2026-07-02
FLYW,8,rank_7_10,-14.5678,True,False,2026-07-02
EZPW,9,rank_7_10,-16.2352,True,False,2026-07-02
LGND,10,rank_7_10,-10.1269,True,False,2026-07-02
IDA,11,rank_11_plus,-7.3813,True,False,2026-07-02
MATX,12,rank_11_plus,-0.8434,False,False,2026-07-02
AXGN,13,rank_11_plus,-9.1281,True,False,2026-07-02
PKE,14,rank_11_plus,-10.7895,True,False,2026-07-02
FCEL,15,rank_11_plus,-24.9392,True,False,2026-07-02
TRIN,16,rank_11_plus,-0.9681,False,False,2026-07-02
BSVN,1,rank_1_3,-1.7677,False,True,2026-07-10
RAPP,2,rank_1_3,10.6274,False,True,2026-07-10
PHVS,3,rank_1_3,0.2585,True,False,2026-07-10
LASR,4,rank_4_6,-20.6136,True,True,2026-07-10
PNTG,5,rank_4_6,-4.0826,True,False,2026-07-10
CZFS,1,rank_1_3,13.3324,False,True,2026-07-17
BIIB,2,rank_1_3,2.8175,False,True,2026-07-17
IRM,3,rank_1_3,4.666,False,True,2026-07-17
WTFC,4,rank_4_6,-0.9873,False,False,2026-07-17
KARO,5,rank_4_6,-0.654,False,False,2026-07-17
EQBK,6,rank_4_6,2.5213,False,False,2026-07-17
HTO,7,rank_7_10,-1.0691,False,False,2026-07-17
UNTY,8,rank_7_10,7.4757,False,False,2026-07-17
ESQ,9,rank_7_10,3.9701,True,False,2026-07-17
GPRE,10,rank_7_10,-17.9905,True,False,2026-07-17
ONB,11,rank_11_plus,1.6081,False,False,2026-07-17
SRBK,12,rank_11_plus,3.1218,False,False,2026-07-17
WERN,13,rank_11_plus,-15.4966,True,False,2026-07-17
ORKA,14,rank_11_plus,19.1928,True,False,2026-07-17
LCNB,15,rank_11_plus,3.6554,False,False,2026-07-17
SEIC,16,rank_11_plus,7.1407,False,False,2026-07-17
MTB,17,rank_11_plus,1.5669,False,False,2026-07-17
CHMG,18,rank_11_plus,10.5957,False,False,2026-07-17
OBK,19,rank_11_plus,5.1415,False,False,2026-07-17
BOH,20,rank_11_plus,-6.0166,True,False,2026-07-17
LQDT,21,rank_11_plus,9.856,False,False,2026-07-17
AIT,22,rank_11_plus,6.8739,False,False,2026-07-17
CHCO,23,rank_11_plus,9.0075,False,False,2026-07-17
OSBC,24,rank_11_plus,9.9279,False,False,2026-07-17
CTBI,25,rank_11_plus,5.3989,False,False,2026-07-17
FBIZ,26,rank_11_plus,8.9523,False,False,2026-07-17
XMTR,27,rank_11_plus,-2.3039,True,False,2026-07-17
TRMK,28,rank_11_plus,3.0077,False,False,2026-07-17
HFWA,29,rank_11_plus,-1.5884,False,False,2026-07-17
FRME,30,rank_11_plus,-1.996,True,False,2026-07-17
WABC,31,rank_11_plus,-1.0084,False,False,2026-07-17
CURB,32,rank_11_plus,-4.3946,False,False,2026-07-17
PLBC,33,rank_11_plus,3.75,False,False,2026-07-17
KRG,34,rank_11_plus,-10.7625,True,False,2026-07-17
EPR,35,rank_11_plus,-0.9701,False,False,2026-07-17
HBNC,36,rank_11_plus,1.43,False,False,2026-07-17
BLFS,1,rank_1_3,24.2049,False,True,2026-07-24
IMAX,2,rank_1_3,20.6589,False,True,2026-07-24
PKG,3,rank_1_3,-1.0723,False,True,2026-07-24
PCAR,4,rank_4_6,-1.087,False,False,2026-07-24
LBRX,5,rank_4_6,35.2073,False,False,2026-07-24
CCBG,6,rank_4_6,-1.3074,False,False,2026-07-24
USCB,7,rank_7_10,2.4658,False,False,2026-07-24
TMP,8,rank_7_10,-2.9826,False,False,2026-07-24
CHMG,9,rank_7_10,2.0993,False,False,2026-07-24
ALOT,10,rank_7_10,0.2426,False,False,2026-07-24
FISI,11,rank_11_plus,-0.3628,False,False,2026-07-24
OFG,12,rank_11_plus,-0.5332,False,False,2026-07-24
SBLK,13,rank_11_plus,14.275,False,False,2026-07-24
STBA,14,rank_11_plus,-2.4022,False,False,2026-07-24
SMBK,15,rank_11_plus,1.795,False,False,2026-07-24
PLSE,16,rank_11_plus,66.4576,False,False,2026-07-24
NWFL,17,rank_11_plus,2.4575,False,False,2026-07-24
BPRN,18,rank_11_plus,2.1635,False,False,2026-07-24
