ticker,code,vol_ratio_1w,eps_growth,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,change|1W,sector
NASDAQ:ASTS,ASTS,1.6917544751456384,-44.6111111111111,76.4,74.1,87.78,73.5,111258128,29186893479.0,-10.674617093417508,Communications
NYSE:CVLG,CVLG,1.6817275366417137,-27.782497875955812,34.07,30.39,34.16,30.04,1222718,854579277.0000001,11.741554608068226,Transportation
NASDAQ:MSEX,MSEX,1.6724928175062557,-4.968309139235328,53.5,51.95,55.14,51.89,1219937,994111018.0,4.268173845254332,Utilities
NYSE:TDY,TDY,1.6645495715398528,21.54089233315777,648.56,635.26,687.0,632.6891,2522134,30039537132.027134,2.0021074815595212,Electronic Technology
NASDAQ:STLD,STLD,1.6509074177840255,93.06896312243906,226.79,200.97,229.0,199.91,9314645,32821549883.999996,13.213857827476039,Non-Energy Minerals
NYSE:SSD,SSD,1.6373839899798526,2.9885931558935446,181.57,176.29,189.32,175.5,1997383,7479598389.0,3.0067510069779217,Producer Manufacturing
NASDAQ:ON,ON,1.634797897637037,-48.8974329978514,98.4,82.67,100.3,81.6448,65348838,38703407021.0,18.539934947596677,Electronic Technology
AMEX:NHC,NHC,1.6324902224498932,306.56877897990734,172.86,167.13,184.08,157.28,854392,2696451058.0000005,2.898982082266804,Health Services
NASDAQ:ORKA,ORKA,1.6282004710982536,15.379825653798257,69.03,68.5,71.0,66.51,6024606,3419931849.0000005,0.15960533952408507,Health Technology
NYSE:WST,WST,1.6228832986434283,55.849117957889604,306.16,271.9,320.33,271.775,6977466,21629466607.999996,11.847440908924854,Health Technology
NASDAQ:APLD,APLD,1.6202897809996917,-120.3943314849045,34.98,30.935,38.54,30.3,156588261,9996218072.0,10.941960038058978,Technology Services
NASDAQ:BODI,BODI,1.614810380309149,,15.49,12.0,15.73,11.6,470963,111213960.0,26.75941080196399,Consumer Services
NASDAQ:NTRS,NTRS,1.605705785625715,42.79692275266098,164.01,158.67,173.185,158.1,8173524,30394483539.0,3.047248052274437,Finance
NASDAQ:INTC,INTC,1.6034650319159915,-288.04232804232805,82.54,68.45,85.22,64.47,715064554,414434150652.0,20.49635036496351,Electronic Technology
NYSE:AZO,AZO,1.6016218694333175,-2.3439929878134977,3577.91,3571.68,3630.83,3500.16,1117236,58952577570.0,0.1547987616099,Retail Trade
NASDAQ:AIP,AIP,1.5988736994479085,4.747919725893301,26.72,22.0,27.0,21.89,3808222,1214885217.0,20.741075463172166,Electronic Technology
NASDAQ:PENG,PENG,1.5842407125186115,499.9999999999999,30.69,26.65,30.72,26.62,9007644,1557441078.0000002,14.771877337322376,Electronic Technology
NASDAQ:BCML,BCML,1.5839515689177306,46.4453125,29.43,29.06,29.865,28.605,227681,321061203.0,0.9259259259259245,Finance
NASDAQ:DXPE,DXPE,1.5707584284730791,7.693499651351976,169.51,159.37,173.33,156.02,1130303,2631170236.9999995,6.362552550668248,Distribution Services
NASDAQ:STRS,STRS,1.5529660305629376,,30.24,29.85,30.735,29.5,120262,241391550.0,1.1371237458193975,Finance
NYSE:VSH,VSH,1.5465194764700154,,28.19,26.34,28.48,26.06,15905191,3828047004.0000005,8.757716049382713,Electronic Technology
NYSE:UNH,UNH,1.5445518080817022,0.6871899620659393,354.92,324.19,358.56,320.12,62765528,322152322132.0,9.330622554908672,Health Services
NASDAQ:PDFS,PDFS,1.5439424134190622,-108.69565217391303,46.49,44.4,50.45,42.79,2601184,1854519301.9999998,5.731180350238806,Technology Services
NYSE:HXL,HXL,1.536181554130269,37.12185467910658,89.39,88.25,98.26,85.775,9147910,6742436026.0,0.7097791798107204,Electronic Technology
NYSE:ROG,ROG,1.5228298625476284,,131.46,122.54,133.78,120.69,1269893,2344658554.0,7.454634624816089,Process Industries
