policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,ETR,14,0.0007434829796101524
deep_pullback,all_entries,w1,EVRG,4,0.0007376124266637083
deep_pullback,all_entries,w1,EWBC,5,0.0007396065675636927
deep_pullback,all_entries,w1,EWTX,1,0.0007377524709787695
deep_pullback,all_entries,w1,EXEL,6,0.0007353056873302983
deep_pullback,all_entries,w1,EXPD,4,0.0007383982211226147
deep_pullback,all_entries,w1,EXPE,9,0.0007386475034826571
deep_pullback,all_entries,w1,EXTR,2,0.0007375447389875377
deep_pullback,all_entries,w1,EZPW,15,0.000724834390471836
deep_pullback,all_entries,w1,FA,3,0.0007397413576931655
deep_pullback,all_entries,w1,FAC,2,0.000737626644136006
deep_pullback,all_entries,w1,FANG,1,0.0007381511381283721
deep_pullback,all_entries,w1,FAST,3,0.0007388589656125755
deep_pullback,all_entries,w1,FBIZ,11,0.0007366640680802029
deep_pullback,all_entries,w1,FBK,7,0.0007377194723324679
deep_pullback,all_entries,w1,FBLA,2,0.0007382240209721405
deep_pullback,all_entries,w1,FBNC,7,0.0007374227607731623
deep_pullback,all_entries,w1,FBP,7,0.000738448899191554
deep_pullback,all_entries,w1,FCAP,4,0.0007176044110909529
deep_pullback,all_entries,w1,FCBC,3,0.0007383120974824712
deep_pullback,all_entries,w1,FCCO,13,0.0007403974055867762
deep_pullback,all_entries,w1,FCF,2,0.0007382089220979639
deep_pullback,all_entries,w1,FCFS,12,0.0007384986157669631
deep_pullback,all_entries,w1,FCNCA,9,0.0007391083213743835
deep_pullback,all_entries,w1,FCX,4,0.0007406347485514736
deep_pullback,all_entries,w1,FDMT,1,0.0007388516781532147
deep_pullback,all_entries,w1,FDSB,4,0.0007393582640452562
deep_pullback,all_entries,w1,FDX,4,0.0007389083828888193
deep_pullback,all_entries,w1,FEIM,6,0.0007388070495718112
deep_pullback,all_entries,w1,FET,2,0.000736500606182084
deep_pullback,all_entries,w1,FFIV,7,0.0007351505496533674
deep_pullback,all_entries,w1,FHI,5,0.0007380561819318632
deep_pullback,all_entries,w1,FICO,6,0.0007393825749961696
deep_pullback,all_entries,w1,FIGR,5,0.0007364985439017664
deep_pullback,all_entries,w1,FIGS,6,0.0007036758589550273
deep_pullback,all_entries,w1,FISI,11,0.0007387296584405659
deep_pullback,all_entries,w1,FITB,1,0.0007370113658313834
deep_pullback,all_entries,w1,FIVE,11,0.0007545963349780004
deep_pullback,all_entries,w1,FIX,7,0.0007354595395863249
deep_pullback,all_entries,w1,FLEX,11,0.0007351045447070298
deep_pullback,all_entries,w1,FLUT,6,0.0007449680609526074
deep_pullback,all_entries,w1,FLXS,6,0.0007406807998903736
deep_pullback,all_entries,w1,FMBH,7,0.0007384449487831751
deep_pullback,all_entries,w1,FN,12,0.0007362795001861947
deep_pullback,all_entries,w1,FNB,7,0.000739123634012575
deep_pullback,all_entries,w1,FNRN,7,0.0007393612679407051
deep_pullback,all_entries,w1,FNWD,2,0.0007374112099997952
deep_pullback,all_entries,w1,FORM,6,0.0007285697498488492
deep_pullback,all_entries,w1,FRAF,8,0.0007436041934688836
deep_pullback,all_entries,w1,FRBA,2,0.0007390332907857833
deep_pullback,all_entries,w1,FRD,2,0.0007369278123479301
deep_pullback,all_entries,w1,FRO,4,0.0007367942313726843
deep_pullback,all_entries,w1,FROG,3,0.0007352611614992958
deep_pullback,all_entries,w1,FRST,3,0.0007381475795926638
deep_pullback,all_entries,w1,FSBC,4,0.0007364565741639886
deep_pullback,all_entries,w1,FSEA,18,0.0007480261061961408
deep_pullback,all_entries,w1,FSLY,3,0.000737779019519657
deep_pullback,all_entries,w1,FSTR,3,0.0007377953199805022
deep_pullback,all_entries,w1,FTAI,6,0.0005957564409371353
deep_pullback,all_entries,w1,FTDR,5,0.0007379503910040485
deep_pullback,all_entries,w1,FTK,5,0.0006956027615126123
deep_pullback,all_entries,w1,FTNT,4,0.0007358063984112127
deep_pullback,all_entries,w1,FULT,6,0.0007383199911614162
deep_pullback,all_entries,w1,FUNC,3,0.000737675301129542
deep_pullback,all_entries,w1,FUSB,6,0.0007365379790825916
deep_pullback,all_entries,w1,GATX,9,0.0007353386765343133
deep_pullback,all_entries,w1,GD,12,0.0007392304135215871
deep_pullback,all_entries,w1,GE,20,0.0007313408524581585
deep_pullback,all_entries,w1,GEF,1,0.0007376954471400272
deep_pullback,all_entries,w1,GEN,1,0.0007384003970243201
deep_pullback,all_entries,w1,GENC,3,0.0007428431233969543
deep_pullback,all_entries,w1,GEV,11,0.0007313543497112349
deep_pullback,all_entries,w1,GFF,1,0.0007377918264932423
