policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-31,stop_first_3w,17,2,0.003788470799075487,0.0,0.00010256410256410256,0.0038910349016395896
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-31,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-31,unresolved_3w,22,2,-0.0,0.0014785392255753616,0.00010256410256410256,-0.001375975123011259
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-07,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-07,stop_first_3w,6,1,0.0027605261530044907,0.0,9.523809523809524e-05,0.002855764248242586
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-07,fast_winner_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-07,unresolved_3w,14,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-14,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-14,stop_first_3w,6,2,0.007104045827617331,0.0027747152672579103,0.00013793103448275863,0.004467261594842179
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-14,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-14,unresolved_3w,21,1,-0.0,0.0025611629719114104,6.896551724137931e-05,-0.002492197454670031
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-21,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-21,stop_first_3w,6,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-06-21,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
