policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
high_pct_above_ceiling,nonoverlap_w4,2024Q4,w1,PRIMARY,SUPPORTED,611,159,0,13,13,13,-0.0010975906275603993,-0.0010975906275603993,-0.001685248457612767,0.00038820450943712,0.012351470023470855,0.006910391587527104,0.008595640045139873,0.0005876578300523657,0.2938289150261828
high_pct_above_ceiling,nonoverlap_w4,2024Q4,w2,PRIMARY,SUPPORTED,611,159,0,13,13,13,-0.0029850579790279925,-0.0029850579790279925,-0.003572715809080356,-0.000512145305932312,0.012351470023470855,0.009177923156133984,0.01275063896521434,0.0005876578300523657,0.2938289150261828
high_pct_above_ceiling,nonoverlap_w4,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,611,159,0,13,13,13,-0.0038930637693693365,-0.0038930637693693365,-0.004480721599421701,4.626737042703928e-05,0.012351470023470855,0.011357922629459793,0.015838644228881493,0.0005876578300523657,0.2938289150261828
high_pct_above_ceiling,nonoverlap_w4,2024Q4,w4,PRIMARY,SUPPORTED,611,159,0,13,13,13,-0.008773733467146732,-0.008773733467146732,-0.009361391297199097,-0.003225283323270804,0.012351470023470855,0.013587638289449176,0.022949029586648274,0.0005876578300523657,0.2938289150261828
deep_pullback,all_entries,2025Q1,w1,PRIMARY,SUPPORTED,703,114,319,13,10,13,0.004260277761015465,0.004260277761015465,0.003965199711141112,0.00394158951146241,0.1808355800080575,0.008332014493850173,0.004366814782709059,0.00029507804987435253,0.14753902493717624
deep_pullback,all_entries,2025Q1,w2,PRIMARY,SUPPORTED,703,114,319,13,10,13,0.008905137664712875,0.008905137664712875,0.008610059614838524,0.005649439712537763,0.1808355800080575,0.013533429976813421,0.004923370361974899,0.00029507804987435253,0.14753902493717624
deep_pullback,all_entries,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,703,114,319,13,10,13,0.007429522802483927,0.007429522802483927,0.0071344447526095756,0.0028878727100695627,0.1808355800080575,0.013008238196061573,0.005873793443452,0.00029507804987435253,0.14753902493717624
deep_pullback,all_entries,2025Q1,w4,PRIMARY,SUPPORTED,703,114,319,13,10,13,0.004888146629676777,0.004888146629676777,0.004593068579802422,0.0006774257413854463,0.1808355800080575,0.01152647251778577,0.0069334039379833476,0.00029507804987435253,0.14753902493717624
deep_pullback,nonoverlap_w4,2025Q1,w1,PRIMARY,SUPPORTED,467,87,223,13,10,13,0.003702458844440618,0.003702458844440618,0.0033529459654802517,0.002942173050976214,0.18238467157197807,0.009282531945721616,0.005929585980241365,0.0003495128789603664,0.17475643948018324
deep_pullback,nonoverlap_w4,2025Q1,w2,PRIMARY,SUPPORTED,467,87,223,13,10,13,0.00998434535615229,0.00998434535615229,0.009634832477191923,0.0052804296289712714,0.18238467157197807,0.015991398541168676,0.006356566063976756,0.0003495128789603664,0.17475643948018324
deep_pullback,nonoverlap_w4,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,467,87,223,13,10,13,0.009316304366813617,0.009316304366813617,0.00896679148785325,0.003109488279822494,0.18238467157197807,0.015921860945695848,0.006955069457842597,0.0003495128789603664,0.17475643948018324
deep_pullback,nonoverlap_w4,2025Q1,w4,PRIMARY,SUPPORTED,467,87,223,13,10,13,0.0069306498285714715,0.0069306498285714715,0.006581136949611103,0.0013088265806806276,0.18238467157197807,0.0146442830456463,0.008063146096035197,0.0003495128789603664,0.17475643948018324
extended_vs_candidate,all_entries,2025Q1,w1,PRIMARY,SUPPORTED,703,149,0,13,12,13,0.005045129327072155,0.005045129327072155,0.0046227162933410795,0.002355940711715062,0.028910398503925155,0.008823425033872635,0.004200708740531555,0.0004224130337310755,0.21120651686553774
extended_vs_candidate,all_entries,2025Q1,w2,PRIMARY,SUPPORTED,703,149,0,13,12,13,-0.006436018272782619,-0.006436018272782619,-0.006858431306513695,-0.009039966941967566,0.028910398503925155,0.01050918567497496,0.017367616981488657,0.0004224130337310755,0.21120651686553774
extended_vs_candidate,all_entries,2025Q1,w3,DIAGNOSTIC_ONLY,SUPPORTED,703,149,0,13,12,13,0.0038019837635293093,0.0038019837635293093,0.0033795707297982363,-0.002181833246378732,0.028910398503925155,0.01206871935785107,0.008689148628052833,0.0004224130337310755,0.21120651686553774
extended_vs_candidate,all_entries,2025Q1,w4,PRIMARY,SUPPORTED,703,149,0,13,12,13,0.004077250393533142,0.004077250393533142,0.003654837359802062,-0.0011639071600621003,0.028910398503925155,0.012579486577246207,0.00892464921744415,0.0004224130337310755,0.21120651686553774
