snapshot_date,code,current_lane,entry_status,setup_route,fresh_demand,follow_through,geometry_failure,quality_state,composition_group,actionable_pullback_context_branch,non_actionable_pullback_context_branch,b0_eligible,industry
2026-04-10,WDC,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Computer Peripherals
2026-04-10,WMT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,WULF,incomplete_evidence,EXTENDED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-10,WWD,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Industrial Machinery
2026-04-10,XPO,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Trucking
2026-04-10,ZION,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Major Banks
2026-04-17,ACLX,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,AD,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Wireless Telecommunications
2026-04-17,ADI,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Semiconductors
2026-04-17,ALB,fresh_demand_alpha,ACTIONABLE,non_pullback,True,True,False,confirmed,confirmed_non_pullback,False,False,True,Unknown
2026-04-17,ALL,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Multi-Line Insurance
2026-04-17,ALNT,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Electrical Products
2026-04-17,AMAL,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-17,AMKR,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-17,AMLX,fresh_demand_alpha,ACTIONABLE,non_pullback,True,True,False,confirmed,confirmed_non_pullback,False,False,True,Pharmaceuticals: Major
2026-04-17,ANRO,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Biotechnology
2026-04-17,APEI,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,ARMK,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Restaurants
2026-04-17,AROW,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Major Banks
2026-04-17,AXTI,incomplete_evidence,EXTENDED,pullback,False,False,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-17,BFH,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Finance/Rental/Leasing
2026-04-17,BMY,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Pharmaceuticals: Major
2026-04-17,BOKF,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Major Banks
2026-04-17,BTSG,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Medical/Nursing Services
2026-04-17,BURL,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Apparel/Footwear Retail
2026-04-17,CAC,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Major Banks
2026-04-17,CAMT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Electronic Components
2026-04-17,CASH,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Major Banks
2026-04-17,CASS,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Miscellaneous Commercial Services
2026-04-17,CATY,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-17,CMI,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Auto Parts: OEM
2026-04-17,CNA,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Multi-Line Insurance
2026-04-17,CPF,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Regional Banks
2026-04-17,CRUS,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,CSWC,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Investment Trusts/Mutual Funds
2026-04-17,CSX,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Railroads
2026-04-17,CVEO,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Hotels/Resorts/Cruise lines
2026-04-17,DG,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,DLX,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,EBAY,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Internet Retail
2026-04-17,ENLT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Alternative Power Generation
2026-04-17,ESEA,tail_risk,EXTENDED,pullback,False,False,True,failure,failure,False,False,False,Marine Shipping
2026-04-17,ESP,tail_risk,EXTENDED,pullback,False,True,True,failure,failure,False,False,False,Electronic Components
2026-04-17,EZPW,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Finance/Rental/Leasing
2026-04-17,FBP,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-17,FCFS,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Finance/Rental/Leasing
2026-04-17,FCX,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Other Metals/Minerals
2026-04-17,FDX,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Air Freight/Couriers
2026-04-17,FIGS,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,FLEX,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-17,FRO,tail_risk,ACTIONABLE,pullback,True,False,True,failure,failure,False,False,False,Marine Shipping
2026-04-17,GATX,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Railroads
2026-04-17,GCT,tail_risk,EXTENDED,non_pullback,False,True,True,failure,failure,False,False,False,Unknown
2026-04-17,GHM,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Industrial Machinery
2026-04-17,GNRC,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Electrical Products
2026-04-17,GRMN,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Telecommunications Equipment
2026-04-17,GSAT,tail_risk,EXTENDED,non_pullback,False,True,True,failure,failure,False,False,False,Wireless Telecommunications
2026-04-17,HUT,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Data Processing Services
2026-04-17,IBKR,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Investment Banks/Brokers
2026-04-17,INVA,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,IVT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Real Estate Investment Trusts
2026-04-17,JAZZ,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Pharmaceuticals: Major
2026-04-17,JBHT,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Trucking
2026-04-17,LGND,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Pharmaceuticals: Major
2026-04-17,LIND,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Hotels/Resorts/Cruise lines
2026-04-17,MAR,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Hotels/Resorts/Cruise lines
2026-04-17,MKSI,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Industrial Machinery
2026-04-17,MSGS,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Movies/Entertainment
2026-04-17,MSM,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Wholesale Distributors
2026-04-17,MU,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-17,NATL,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Computer Processing Hardware
2026-04-17,NBIS,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Packaged Software
2026-04-17,NYAX,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,OPLN,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Packaged Software
2026-04-17,OR,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,OSIS,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,OVBC,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-17,OVLY,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Regional Banks
2026-04-17,PL,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,RPRX,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Pharmaceuticals: Major
2026-04-17,RRBI,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-17,RSI,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Casinos/Gaming
2026-04-17,SATS,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,SHEN,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-17,SILC,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Computer Communications
2026-04-17,SLAB,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Semiconductors
2026-04-17,SMTC,tail_risk,EXTENDED,pullback,False,True,True,failure,failure,False,False,False,Semiconductors
2026-04-17,STT,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Investment Banks/Brokers
2026-04-17,SXI,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Electronic Equipment/Instruments
2026-04-17,TPR,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-17,TRVI,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Biotechnology
2026-04-17,TXN,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-17,ULS,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Miscellaneous Commercial Services
2026-04-17,UTMD,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Medical Specialties
