snapshot_date,policy_id,pick_count,selected_codes,composition_groups,setup_routes,industries,confirmed_non_pullback_count,confirmed_pullback_count,standard_count,incomplete_count,distinct_industry_count
2026-04-17,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""CVEO"", ""AMLX"", ""CASS""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major"", ""Miscellaneous Commercial Services""]",1,2,0,0,3
2026-04-17,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""CVEO"", ""AMLX"", ""CASS""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""pullback"", ""non_pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major"", ""Miscellaneous Commercial Services""]",1,2,0,0,3
2026-04-17,TRACK_F__FCS_MAX1_NO_IND,2,"[""CVEO"", ""AMLX""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Hotels/Resorts/Cruise lines"", ""Pharmaceuticals: Major""]",1,1,0,0,2
2026-04-24,B0_ORIGINAL,3,"[""MCRI"", ""NVTS"", ""SANM""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Hotels/Resorts/Cruise lines"", ""Unknown"", ""Electronic Production Equipment""]",3,0,0,0,3
2026-04-24,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""MCRI"", ""OBK"", ""AZZ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Industrial Specialties""]",1,2,0,0,3
2026-04-24,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""MCRI"", ""OBK"", ""AZZ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Industrial Specialties""]",1,2,0,0,3
2026-04-24,TRACK_F__FCS_MAX1,3,"[""MCRI"", ""OBK"", ""WSFS""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""standard""]","[""non_pullback"", ""pullback"", ""non_pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Savings Banks""]",1,1,1,0,3
2026-04-24,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""MCRI"", ""OBK"", ""AZZ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Industrial Specialties""]",1,2,0,0,3
2026-04-24,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""MCRI"", ""OBK"", ""AZZ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Industrial Specialties""]",1,2,0,0,3
2026-04-24,TRACK_F__FCS_MAX1_NO_IND,3,"[""MCRI"", ""OBK"", ""WSFS""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""standard""]","[""non_pullback"", ""pullback"", ""non_pullback""]","[""Hotels/Resorts/Cruise lines"", ""Regional Banks"", ""Savings Banks""]",1,1,1,0,3
2026-05-01,B0_ORIGINAL,3,"[""RBB"", ""IRM"", ""BEN""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Regional Banks"", ""Real Estate Investment Trusts"", ""Investment Managers""]",3,0,0,0,3
2026-05-01,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""RBB"", ""PR"", ""ESP""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Regional Banks"", ""Integrated Oil"", ""Electronic Components""]",1,2,0,0,3
