snapshot_date,code,new_status,new_missing_reason
2026-06-12,LIND,expected_unavailable,PRIOR_YEAR_EPS_ZERO
2026-06-12,SILC,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,TNK,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,STNG,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,NSA,expected_unavailable,NO_QUARTERLY_EPS
2026-06-12,NVMI,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,WBI,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,GRDN,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,BLX,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-06-12,TIGO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,FAC,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-06-12,TSM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-12,NTB,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,HQ,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-06-18,ASX,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,STNG,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,RMIX,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,GFS,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,TSEM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,WSR,expected_unavailable,NO_QUARTERLY_EPS
2026-06-18,TSM,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-18,AFBI,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE
2026-06-26,BUUU,expected_unavailable,NO_QUARTERLY_EPS
2026-06-26,WTTR,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-06-26,WSR,expected_unavailable,NO_QUARTERLY_EPS
2026-06-26,STEL,expected_unavailable,NO_QUARTERLY_EPS
