original_code,resolved_code,action,bars_count,first_price_date,last_price_date,status,source
CRDO,CRDO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CRL,CRL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CRNX,CRNX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CRS,CRS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CRUS,CRUS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CRWD,CRWD,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CSTM,CSTM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CSV,CSV,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CSWC,CSWC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CSX,CSX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CTBI,CTBI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CTO,CTO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CTRE,CTRE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CTRI,CTRI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CTRN,CTRN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CTS,CTS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CUBE,CUBE,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CUBI,CUBI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CURB,CURB,CACHE_HIT,477,2024-09-26,2026-08-21,OK,results_pkl
CVEO,CVEO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CVLG,CVLG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CVNA,CVNA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CVS,CVS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CW,CW,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CWBC,CWBC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CXW,CXW,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CYD,CYD,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
CYTK,CYTK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CZFS,CZFS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CZNC,CZNC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
CZWI,CZWI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
D,D,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DAC,DAC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DAL,DAL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DAN,DAN,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DASH,DASH,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DAVE,DAVE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DBD,DBD,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DBX,DBX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DCO,DCO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DCOM,DCOM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DDOG,DDOG,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DELL,DELL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DFTX,DFTX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DG,DG,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DGII,DGII,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DGX,DGX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DINO,DINO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DIOD,DIOD,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DK,DK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DKL,DKL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DLX,DLX,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DNLI,DNLI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DNTH,DNTH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DOC,DOC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DOCN,DOCN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DTM,DTM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DVA,DVA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
DXPE,DXPE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
DY,DY,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
EAT,EAT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
EBAY,EBAY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
EBMT,EBMT,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ECBK,ECBK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ECG,ECG,CACHE_HIT,456,2024-10-28,2026-08-24,OK,yahoo_download
