variant,date,code,event,signal_date,price
b0_repository_skill,2026-04-13,FRAF,entry,2026-04-10,56.14
b0_repository_skill,2026-04-10,SPIR,entry_missing,2026-04-10,
b0_repository_skill,2026-04-13,HLIO,entry,2026-04-10,70.62
b0_repository_skill,2026-05-04,HLIO,stop_loss,2026-04-10,65.32350000000001
b0_repository_skill,2026-04-20,AMLX,entry,2026-04-17,18.16
b0_repository_skill,2026-04-24,AMLX,stop_loss,2026-04-17,16.798000000000002
b0_repository_skill,2026-04-17,ALB,entry_missing,2026-04-17,
b0_repository_skill,2026-04-20,CVEO,entry,2026-04-17,30.35
b0_repository_skill,2026-04-27,WSFS,entry,2026-04-24,71.23
b0_repository_skill,2026-04-27,MCRI,entry,2026-04-24,114.71
b0_repository_skill,2026-04-24,SANM,entry_missing,2026-04-24,
b0_repository_skill,2026-05-04,RBB,entry,2026-05-01,24.09
b0_repository_skill,2026-05-01,IRM,entry_missing,2026-05-01,
b0_repository_skill,2026-05-04,BEN,entry,2026-05-01,29.47
b0_repository_skill,2026-08-05,BEN,profit_take,2026-05-01,36.10075
b0_repository_skill,2026-05-11,FTNT,entry,2026-05-08,112.1
b0_repository_skill,2026-05-29,FTNT,profit_take,2026-05-08,137.3225
b0_repository_skill,2026-05-11,KRYS,entry,2026-05-08,308.38
b0_repository_skill,2026-06-02,KRYS,stop_loss,2026-05-08,285.2515
b0_repository_skill,2026-05-08,CTS,entry_missing,2026-05-08,
