eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
with_eps,grid_act_epspass_ind_def_nogeom_relaxed,backtrader,10000.0,8.0,88,82,53,18205.469999999994,82.05469999999994,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_clean_strict,backtrader,10000.0,8.0,67,62,42,17438.250799999998,74.38250799999997,-3.8701103690391037,86,1,31,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_def_clean_relaxed,backtrader,10000.0,8.0,88,82,53,18198.789999999997,81.98789999999998,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_keep_strict,backtrader,10000.0,8.0,88,84,54,16446.48,64.46479999999998,-11.228145039887139,111,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_keep_relaxed,backtrader,10000.0,8.0,88,84,54,16446.48,64.46479999999998,-11.228145039887139,111,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_nodry_strict,backtrader,10000.0,8.0,72,69,46,16510.21,65.10209999999998,-3.5030970406056405,85,0,32,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_nodry_relaxed,backtrader,10000.0,8.0,88,84,54,16446.48,64.46479999999998,-11.228145039887139,111,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_nogeom_strict,backtrader,10000.0,8.0,84,79,53,16969.103599999995,69.69103599999995,-11.438762480947185,112,3,37,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_nogeom_relaxed,backtrader,10000.0,8.0,88,83,54,16969.103599999995,69.69103599999995,-11.438762480947185,113,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_clean_strict,backtrader,10000.0,8.0,67,62,42,17438.250799999998,74.38250799999997,-3.8701103690391037,86,1,31,2025-10-24,2026-08-21
with_eps,grid_act_epspass_ind_prox_clean_relaxed,backtrader,10000.0,8.0,88,82,53,16966.17359999999,69.66173599999992,-11.676098436640881,113,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_keep_strict,backtrader,10000.0,8.0,90,86,55,19047.4784,90.474784,-10.080463003151818,105,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_keep_relaxed,backtrader,10000.0,8.0,90,86,55,19047.4784,90.474784,-10.080463003151818,105,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_nodry_strict,backtrader,10000.0,8.0,74,72,47,16599.26,65.99259999999998,-3.5030970406056405,83,0,32,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_nodry_relaxed,backtrader,10000.0,8.0,90,86,55,19047.4784,90.474784,-10.080463003151818,105,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_nogeom_strict,backtrader,10000.0,8.0,85,79,53,21057.752000000004,110.57752000000005,-7.8800898812891536,108,2,37,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_nogeom_relaxed,backtrader,10000.0,8.0,90,84,54,20029.242,100.29241999999998,-7.8800898812891536,103,2,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_clean_strict,backtrader,10000.0,8.0,70,66,44,16717.7108,67.177108,-5.37793613550398,80,1,31,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_def_clean_relaxed,backtrader,10000.0,8.0,90,84,54,21220.402000000002,112.20402000000003,-7.011379381603966,109,2,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_keep_strict,backtrader,10000.0,8.0,90,85,53,19040.2284,90.40228400000001,-11.184090098580157,107,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_keep_relaxed,backtrader,10000.0,8.0,90,85,53,19040.2284,90.40228400000001,-11.184090098580157,107,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_nodry_strict,backtrader,10000.0,8.0,74,71,45,15907.119999999997,59.07119999999997,-3.5030970406056405,75,0,32,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_nodry_relaxed,backtrader,10000.0,8.0,90,85,53,19040.2284,90.40228400000001,-11.184090098580157,107,3,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_nogeom_strict,backtrader,10000.0,8.0,85,79,53,21541.848399999995,115.41848399999996,-5.4482743489318475,108,1,37,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_nogeom_relaxed,backtrader,10000.0,8.0,90,84,54,21541.848399999995,115.41848399999996,-5.4482743489318475,109,1,38,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_clean_strict,backtrader,10000.0,8.0,70,65,43,18876.190799999997,88.76190799999996,-5.082196546023421,86,1,31,2025-10-24,2026-08-21
with_eps,grid_act_epspass_noind_prox_clean_relaxed,backtrader,10000.0,8.0,90,83,53,21392.992,113.92992,-7.395596242718206,113,2,38,2025-10-24,2026-08-21
with_eps,grid_sig_noeps_ind_def_keep_strict,backtrader,10000.0,8.0,101,98,61,15311.3128,53.11312799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_sig_noeps_ind_def_keep_relaxed,backtrader,10000.0,8.0,101,98,61,15311.3128,53.11312799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_sig_noeps_ind_def_nodry_strict,backtrader,10000.0,8.0,87,85,54,15877.1796,58.771795999999995,-10.02067430911211,94,1,37,2025-10-24,2026-08-21
